,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Aalc
45,F,15,U,LE3,A,4,3,other,other,1,2,True,True,True,True,True,True,5,2,2,1,1,5,8,8,8,6,1.0
46,F,16,U,LE3,A,3,3,other,services,1,2,False,False,True,True,True,False,2,3,5,1,4,3,12,11,12,11,1.8571428571428572
47,M,16,U,GT3,T,4,3,health,services,1,4,False,True,True,True,True,False,4,2,2,1,1,2,4,19,19,20,1.0
48,M,15,U,GT3,T,4,2,teacher,other,1,2,True,False,True,True,False,False,4,3,3,2,2,5,2,15,15,14,2.0
49,F,15,U,GT3,T,4,4,services,teacher,1,2,False,True,False,True,True,False,4,4,4,1,1,3,2,7,7,7,1.0
50,F,16,U,LE3,T,2,2,services,services,3,2,True,False,True,True,True,False,4,3,3,2,3,4,2,12,13,13,2.2857142857142856
51,F,15,U,LE3,T,4,2,health,other,1,2,True,False,True,True,True,False,4,3,3,1,1,5,2,11,13,13,1.0
52,M,15,U,LE3,A,4,2,health,health,2,1,False,False,True,True,False,False,5,5,5,3,4,5,6,11,11,10,3.2857142857142856
53,F,15,U,GT3,T,4,4,services,services,1,1,True,False,True,True,True,False,3,3,4,2,3,5,0,8,10,11,2.2857142857142856
54,F,15,U,LE3,A,3,3,other,other,1,1,True,False,True,True,True,False,5,3,4,4,4,1,6,10,13,13,4.0
55,F,16,U,GT3,A,2,1,other,other,1,2,True,True,True,True,True,True,5,3,4,1,1,2,8,8,9,10,1.0
56,F,15,U,GT3,A,4,3,services,services,1,2,True,True,True,True,True,False,4,3,2,1,1,1,0,14,15,15,1.0
57,M,15,U,GT3,T,4,4,teacher,health,1,2,False,True,True,True,False,False,3,2,2,1,1,5,4,14,15,15,1.0
58,M,15,U,LE3,T,1,2,other,at_home,1,2,False,True,True,True,True,False,4,3,2,1,1,5,2,9,10,9,1.0
59,F,16,U,GT3,T,4,2,services,other,1,2,False,False,True,True,True,False,4,2,3,1,1,5,2,15,16,16,1.0
60,F,16,R,GT3,T,4,4,health,teacher,1,2,False,True,True,True,False,False,2,4,4,2,3,4,6,10,11,11,2.2857142857142856
61,F,16,U,GT3,T,1,1,services,services,4,1,False,True,False,True,True,True,5,5,5,5,5,5,6,10,8,11,5.0
62,F,16,U,LE3,T,1,2,other,services,1,2,False,True,True,True,True,False,4,4,3,1,1,1,4,8,10,9,1.0
63,F,16,U,GT3,T,4,3,teacher,health,1,3,True,True,True,True,True,False,3,4,4,2,4,4,2,10,9,9,2.5714285714285716
64,F,15,U,LE3,T,4,3,services,services,1,2,False,True,True,True,True,True,4,4,4,2,4,2,0,10,10,10,2.5714285714285716
65,F,16,U,LE3,T,4,3,teacher,services,3,2,False,True,True,True,True,False,5,4,3,1,2,1,2,16,15,15,1.2857142857142858
66,M,15,U,GT3,A,4,4,other,services,1,4,False,True,False,True,True,True,1,3,3,5,5,3,4,13,13,12,5.0
67,F,16,U,GT3,T,3,1,services,other,1,4,True,False,True,True,True,False,4,3,3,1,2,5,4,7,7,6,1.2857142857142858
68,F,15,R,LE3,T,2,2,health,services,2,2,True,False,True,True,True,False,4,1,3,1,3,4,2,8,9,8,1.5714285714285714
69,F,15,R,LE3,T,3,1,other,other,2,4,False,False,False,True,True,False,4,4,2,2,3,3,12,16,16,16,2.2857142857142856
70,M,16,U,GT3,T,3,1,other,other,2,4,True,False,True,True,True,False,4,3,2,1,1,5,0,13,15,15,1.0
71,M,15,U,GT3,T,4,2,other,other,1,4,False,False,True,True,True,False,3,3,3,1,1,3,0,10,10,10,1.0
72,F,15,R,GT3,T,1,1,other,other,1,2,False,False,False,True,True,True,3,3,4,2,4,5,2,8,6,5,2.5714285714285716
73,M,16,U,GT3,T,3,1,other,other,1,1,False,True,True,True,False,False,5,3,2,2,2,5,2,12,12,14,2.0
74,F,16,U,GT3,T,3,3,other,services,1,2,True,True,True,True,True,False,4,3,3,2,4,5,54,11,12,11,2.5714285714285716
75,M,15,U,GT3,T,4,3,teacher,other,1,2,True,True,True,True,True,False,4,3,3,2,3,5,6,9,9,10,2.2857142857142856
76,M,15,U,GT3,T,4,0,teacher,other,2,4,False,True,True,True,True,False,3,4,3,1,1,1,8,11,11,10,1.0
77,F,16,U,GT3,T,2,2,other,other,1,4,True,False,True,True,True,True,5,2,3,1,3,3,0,11,11,11,1.5714285714285714
78,M,17,U,GT3,T,2,1,other,other,2,1,False,True,True,False,True,False,4,5,1,1,1,3,2,8,8,10,1.0
79,F,16,U,GT3,T,3,4,at_home,other,1,2,False,False,True,True,True,False,2,4,3,1,2,3,12,5,5,5,1.2857142857142858
80,M,15,U,GT3,T,2,3,other,services,1,1,True,True,False,True,True,True,3,2,2,1,3,3,2,10,12,12,1.5714285714285714
81,M,15,U,GT3,T,2,3,other,other,1,3,True,False,False,True,True,False,5,3,2,1,2,5,4,11,10,11,1.2857142857142858
82,F,15,U,LE3,T,3,2,services,other,1,2,True,False,True,True,True,False,4,4,4,1,1,5,10,7,6,6,1.0
83,M,15,U,LE3,T,2,2,services,services,2,2,True,True,True,True,True,False,5,3,3,1,3,4,4,15,15,15,1.5714285714285714
84,F,15,U,GT3,T,1,1,other,other,1,2,False,True,False,True,True,False,4,3,2,2,3,4,2,9,10,10,2.2857142857142856
85,F,15,U,GT3,T,4,4,services,services,2,2,True,False,True,True,True,True,4,4,4,2,3,5,6,7,9,8,2.2857142857142856
86,F,16,U,LE3,T,2,2,at_home,other,1,2,False,False,True,True,False,False,4,3,4,1,2,2,4,8,7,6,1.2857142857142858
87,F,15,U,GT3,T,4,2,other,other,1,3,False,True,True,True,True,False,5,3,3,1,3,1,4,13,14,14,1.5714285714285714
88,M,16,U,GT3,T,2,2,services,other,2,2,True,True,False,True,True,False,4,4,2,1,1,3,12,11,10,10,1.0
89,M,16,U,LE3,A,4,4,teacher,health,1,2,False,False,True,True,False,False,4,1,3,3,5,5,18,8,6,7,3.5714285714285716
90,F,16,U,GT3,T,3,3,other,other,1,3,True,False,True,True,True,True,4,3,3,1,3,4,0,7,7,8,1.5714285714285714
91,F,15,U,GT3,T,4,3,services,other,1,1,True,True,True,True,True,False,4,5,5,1,3,1,4,16,17,18,1.5714285714285714
92,F,16,U,LE3,T,3,1,other,other,1,2,False,False,True,True,False,False,3,3,3,2,3,2,4,7,6,6,2.2857142857142856
93,F,16,U,GT3,T,4,2,teacher,services,2,2,True,True,True,True,True,False,5,3,3,1,1,1,0,11,10,10,1.0
94,M,15,U,LE3,T,2,2,services,health,1,4,False,True,True,True,True,False,4,3,4,1,1,4,6,11,13,14,1.0
95,F,15,R,GT3,T,1,1,at_home,other,2,4,True,True,True,True,True,False,3,1,2,1,1,1,2,7,10,10,1.0
96,M,16,R,GT3,T,4,3,services,other,2,1,False,True,False,True,True,False,3,3,3,1,1,4,2,11,15,15,1.0
97,F,16,U,GT3,T,2,1,other,other,1,2,True,False,True,True,False,True,4,3,5,1,1,5,2,8,9,10,1.0
98,F,16,U,GT3,T,4,4,other,other,1,1,False,True,False,True,True,False,5,3,4,1,2,1,6,11,14,14,1.2857142857142858
99,F,16,U,GT3,T,4,3,other,at_home,1,3,True,False,True,True,True,False,5,3,5,1,1,3,0,7,9,8,1.0
100,M,16,U,GT3,T,4,4,services,services,1,1,True,True,True,True,True,False,4,5,5,5,5,4,14,7,7,5,5.0
101,M,16,U,GT3,T,4,4,services,teacher,1,3,False,True,True,True,True,True,4,4,3,1,1,4,0,16,17,17,1.0
102,M,15,U,GT3,T,4,4,services,other,1,1,False,True,False,True,True,False,5,3,3,1,1,5,4,10,13,14,1.0
103,F,15,U,GT3,T,3,2,services,other,2,2,True,False,True,True,True,False,4,3,5,1,1,2,26,7,6,6,1.0
104,M,15,U,GT3,A,3,4,services,other,1,2,True,True,True,True,True,False,5,4,4,1,1,1,0,16,18,18,1.0
105,F,15,U,GT3,A,3,3,other,health,1,4,False,False,True,True,False,False,4,3,3,1,1,4,10,10,11,11,1.0
106,F,15,U,GT3,T,2,2,other,other,1,4,True,False,True,True,True,False,5,1,2,1,1,3,8,7,8,8,1.0
107,M,16,U,GT3,T,3,3,services,other,1,3,False,True,True,True,True,False,5,3,3,1,1,5,2,16,18,18,1.0
108,M,15,R,GT3,T,4,4,other,other,4,4,True,True,True,True,True,True,1,3,5,3,5,1,6,10,13,13,3.5714285714285716
109,F,16,U,LE3,T,4,4,health,health,1,3,True,True,True,True,True,True,5,4,5,1,1,4,4,14,15,16,1.0
110,M,15,U,LE3,A,4,4,teacher,teacher,1,1,False,True,True,True,True,False,5,5,3,1,1,4,6,18,19,19,1.0
111,F,16,R,GT3,T,3,3,services,other,1,3,False,True,True,True,True,False,4,1,2,1,1,2,0,7,10,10,1.0
112,F,16,U,GT3,T,2,2,at_home,other,1,2,False,True,True,True,True,False,3,1,2,1,1,5,6,10,13,13,1.0
113,M,15,U,LE3,T,4,2,teacher,other,1,1,False,False,True,True,True,False,3,5,2,1,1,3,10,18,19,19,1.0
114,M,15,R,GT3,T,2,1,health,services,1,2,False,True,True,True,True,True,5,4,2,1,1,5,8,9,9,9,1.0
115,M,16,U,GT3,T,4,4,teacher,teacher,1,2,False,True,True,True,True,False,5,4,4,1,2,5,2,15,15,16,1.2857142857142858
116,M,15,U,GT3,T,4,4,other,teacher,2,2,False,True,True,True,False,False,4,4,3,1,1,2,2,11,13,14,1.0
117,M,16,U,GT3,T,3,3,other,services,2,1,False,True,True,True,True,False,5,4,2,1,1,5,0,13,14,13,1.0
118,M,17,R,GT3,T,1,3,other,other,3,2,False,True,True,True,True,False,5,2,4,1,4,5,20,9,7,8,1.8571428571428572
119,M,15,U,GT3,T,3,4,other,other,1,1,False,False,True,True,True,False,3,4,3,1,2,4,6,14,13,13,1.2857142857142858
120,F,15,U,GT3,T,1,2,at_home,services,1,2,False,False,False,True,True,False,3,2,3,1,2,1,2,16,15,15,1.2857142857142858
121,M,15,U,GT3,T,2,2,services,services,1,4,True,True,True,True,True,False,5,5,4,1,2,5,6,16,14,15,1.2857142857142858
122,F,16,U,LE3,T,2,4,other,health,2,2,True,True,True,True,True,True,4,2,2,1,2,5,2,13,13,13,1.2857142857142858
123,M,16,U,GT3,T,4,4,health,other,1,1,False,True,True,True,True,False,3,4,4,1,4,5,18,14,11,13,1.8571428571428572
124,F,16,U,GT3,T,2,2,other,other,1,2,True,False,True,True,True,True,5,4,4,1,1,5,0,8,7,8,1.0
125,M,15,U,GT3,T,3,4,services,services,1,1,False,False,True,True,True,False,5,5,5,3,2,5,0,13,13,12,2.7142857142857144
126,F,15,U,LE3,A,3,4,other,other,1,2,False,True,True,True,True,True,5,3,2,1,1,1,0,7,10,11,1.0
127,F,19,U,GT3,T,0,1,at_home,other,1,2,False,False,False,False,False,False,3,4,2,1,1,5,2,7,8,9,1.0
128,M,18,R,GT3,T,2,2,services,other,1,1,False,True,True,True,True,False,3,3,3,1,2,4,0,7,4,0,1.2857142857142858
129,M,16,R,GT3,T,4,4,teacher,teacher,1,1,True,True,True,True,True,False,3,5,5,2,5,4,8,18,18,18,2.857142857142857
130,F,15,R,GT3,T,3,4,services,teacher,2,3,False,False,True,True,True,True,4,2,2,2,2,5,0,12,0,0,2.0
131,F,15,U,GT3,T,1,1,at_home,other,3,1,False,True,False,True,True,True,4,3,3,1,2,4,0,8,0,0,1.2857142857142858
132,F,17,U,LE3,T,2,2,other,other,1,1,False,False,True,True,True,True,3,4,4,1,3,5,12,10,13,12,1.5714285714285714
133,F,16,U,GT3,A,3,4,services,other,1,1,False,False,True,True,True,False,3,2,1,1,4,5,16,12,11,11,1.8571428571428572
134,M,15,R,GT3,T,3,4,at_home,teacher,4,2,False,False,True,True,False,True,5,3,3,1,1,5,0,9,0,0,1.0
135,F,15,U,GT3,T,4,4,services,at_home,1,3,False,True,True,True,True,True,4,3,3,1,1,5,0,11,0,0,1.0
136,M,17,R,GT3,T,3,4,at_home,other,3,2,False,False,True,True,False,False,5,4,5,2,4,5,0,10,0,0,2.5714285714285716
137,F,16,U,GT3,A,3,3,other,other,2,1,False,True,False,True,True,True,4,3,2,1,1,5,0,4,0,0,1.0
138,M,16,U,LE3,T,1,1,services,other,1,2,False,False,True,True,False,True,4,4,4,1,3,5,0,14,12,12,1.5714285714285714
139,F,15,U,GT3,T,4,4,teacher,teacher,2,1,False,True,True,True,True,False,4,3,2,1,1,5,0,16,16,15,1.0
140,M,15,U,GT3,T,4,3,teacher,services,2,4,False,False,True,True,True,False,2,2,2,1,1,3,0,7,9,0,1.0
141,M,16,U,LE3,T,2,2,services,services,2,1,False,True,True,True,True,False,2,3,3,2,2,2,8,9,9,9,2.0
142,F,15,U,GT3,T,4,4,teacher,services,1,3,True,True,True,True,True,False,4,2,2,1,1,5,2,9,11,11,1.0
143,F,16,U,LE3,T,1,1,at_home,at_home,1,1,False,False,True,True,True,False,3,4,4,3,3,1,2,14,14,13,3.0
144,M,17,U,GT3,T,2,1,other,other,1,1,False,False,True,True,True,False,5,4,5,1,2,5,0,5,0,0,1.2857142857142858
145,F,15,U,GT3,T,1,1,other,services,1,2,True,False,True,True,True,False,4,4,2,1,2,5,0,8,11,11,1.2857142857142858
146,F,15,U,GT3,T,3,2,health,services,1,2,False,False,True,True,True,False,3,3,2,1,1,3,0,6,7,0,1.0
147,F,15,U,GT3,T,1,2,at_home,other,1,2,True,False,False,True,True,False,4,3,2,1,1,5,2,10,11,11,1.0
148,M,16,U,GT3,T,4,4,teacher,teacher,1,1,False,False,True,False,True,True,3,3,2,2,1,5,0,7,6,0,1.7142857142857142
149,M,15,U,LE3,A,2,1,services,other,4,1,False,False,True,True,True,False,4,5,5,2,5,5,0,8,9,10,2.857142857142857
150,M,18,U,LE3,T,1,1,other,other,1,1,False,False,True,False,True,True,2,3,5,2,5,4,0,6,5,0,2.857142857142857
151,M,16,U,LE3,T,2,1,at_home,other,1,1,False,True,True,True,False,True,4,4,4,3,5,5,6,12,13,14,3.5714285714285716
152,F,15,R,GT3,T,3,3,services,services,2,3,True,True,True,True,True,True,4,2,1,2,3,3,8,10,10,10,2.2857142857142856
153,M,19,U,GT3,T,3,2,services,at_home,1,1,False,False,True,False,True,True,4,5,4,1,1,4,0,5,0,0,1.0
154,F,17,U,GT3,T,4,4,other,teacher,1,1,False,False,True,True,False,True,4,2,1,1,1,4,0,11,11,12,1.0
155,M,15,R,GT3,T,2,3,at_home,services,1,2,True,True,True,True,False,False,4,4,4,1,1,1,2,11,8,8,1.0
156,M,17,R,LE3,T,1,2,other,other,1,1,False,False,True,True,False,False,2,2,2,3,3,5,8,16,12,13,3.0
157,F,18,R,GT3,T,1,1,at_home,other,3,1,False,True,False,True,False,False,5,2,5,1,5,4,6,9,8,10,2.142857142857143
158,M,16,R,GT3,T,2,2,at_home,other,3,1,False,False,False,True,False,False,4,2,2,1,2,3,2,17,15,15,1.2857142857142858
159,M,16,U,GT3,T,3,3,other,services,1,2,True,False,True,True,True,True,4,5,5,4,4,5,4,10,12,12,4.0
160,M,17,R,LE3,T,2,1,at_home,other,2,1,False,True,True,False,True,True,3,3,2,2,2,5,0,7,6,0,2.0
161,M,15,R,GT3,T,3,2,other,other,2,2,False,False,True,True,True,True,4,4,4,1,4,3,6,5,9,7,1.8571428571428572
162,M,16,U,LE3,T,1,2,other,other,2,1,False,True,True,True,False,False,4,4,4,2,4,5,0,7,0,0,2.5714285714285716
163,M,17,U,GT3,T,1,3,at_home,services,1,1,False,False,True,False,True,False,5,3,3,1,4,2,2,10,10,10,1.8571428571428572
164,M,17,R,LE3,T,1,1,other,services,4,2,False,True,True,False,False,True,5,3,5,1,5,5,0,5,8,7,2.142857142857143
165,M,16,U,GT3,T,3,2,services,services,2,1,False,True,False,False,False,False,4,5,2,1,1,2,16,12,11,12,1.0
166,M,16,U,GT3,T,2,2,other,other,1,2,False,False,True,False,True,False,4,3,5,2,4,4,4,10,10,10,2.5714285714285716
167,F,16,U,GT3,T,4,2,health,services,1,2,True,False,True,True,True,True,4,2,3,1,1,3,0,14,15,16,1.0
168,F,16,U,GT3,T,2,2,other,other,1,2,True,False,False,True,True,False,5,1,5,1,1,4,0,6,7,0,1.0
169,F,16,U,GT3,T,4,4,health,health,1,2,True,False,True,True,True,True,4,4,2,1,1,3,0,14,14,14,1.0
170,M,16,U,GT3,T,3,4,other,other,3,1,False,True,False,True,True,False,3,4,5,2,4,2,0,6,5,0,2.5714285714285716
171,M,16,U,GT3,T,1,0,other,other,2,2,True,True,True,True,True,True,4,3,2,1,1,3,2,13,15,16,1.0
172,M,17,U,LE3,T,4,4,teacher,other,1,2,True,True,True,True,True,False,4,4,4,1,3,5,0,13,11,10,1.5714285714285714
173,F,16,U,GT3,T,1,3,at_home,services,1,2,False,True,False,True,True,True,4,3,5,1,1,3,0,8,7,0,1.0
174,F,16,U,LE3,T,3,3,other,other,2,2,True,True,True,True,True,False,4,4,5,1,1,4,4,10,11,9,1.0
175,M,17,U,LE3,T,4,3,teacher,other,2,2,True,True,True,True,True,False,4,4,4,4,4,4,4,10,9,9,4.0
176,F,16,U,GT3,T,2,2,services,other,2,2,True,True,False,True,True,False,3,4,4,1,4,5,2,13,13,11,1.8571428571428572
177,M,17,U,GT3,T,3,3,other,other,1,2,False,True,False,True,True,False,4,3,4,1,4,4,4,6,5,6,1.8571428571428572
178,M,16,R,GT3,T,4,2,teacher,services,1,1,False,True,True,True,True,True,4,3,3,3,4,3,10,10,8,9,3.2857142857142856
179,M,17,U,GT3,T,4,3,other,other,1,2,False,True,True,True,True,True,5,2,3,1,1,2,4,10,10,11,1.0
180,M,16,U,GT3,T,4,3,teacher,other,1,2,True,True,True,True,True,False,3,4,3,2,3,3,10,9,8,8,2.2857142857142856
181,M,16,U,GT3,T,3,3,services,other,1,2,True,True,True,True,True,True,4,2,3,1,2,3,2,12,13,12,1.2857142857142858
182,F,17,U,GT3,T,2,4,services,services,1,2,False,True,True,True,False,False,5,4,2,2,3,5,0,16,17,17,2.2857142857142856
183,F,17,U,LE3,T,3,3,other,other,1,2,False,True,True,True,True,True,5,3,3,2,3,1,56,9,9,8,2.2857142857142856
184,F,16,U,GT3,T,3,2,other,other,1,2,True,False,True,True,True,False,1,2,2,1,2,1,14,12,13,12,1.2857142857142858
185,M,17,U,GT3,T,3,3,services,services,1,2,False,True,True,True,True,True,4,3,4,2,3,4,12,12,12,11,2.2857142857142856
186,M,16,U,GT3,T,1,2,services,services,1,1,True,True,True,True,True,True,3,3,3,1,2,3,2,11,12,11,1.2857142857142858
187,M,16,U,LE3,T,2,1,other,other,1,2,True,True,True,True,True,True,4,2,3,1,2,5,0,15,15,15,1.2857142857142858
188,F,17,U,GT3,A,3,3,health,other,1,2,False,False,False,True,True,True,3,3,3,1,3,3,6,8,7,9,1.5714285714285714
189,M,17,R,GT3,T,1,2,at_home,other,1,2,False,False,True,True,False,False,3,1,3,1,5,3,4,8,9,10,2.142857142857143
190,F,16,U,GT3,T,2,3,services,services,1,2,False,False,True,True,True,False,4,3,3,1,1,2,10,11,12,13,1.0
191,F,17,U,GT3,T,1,1,at_home,services,1,2,False,True,True,True,True,False,5,3,3,1,1,3,0,8,8,9,1.0
192,M,17,U,GT3,T,1,2,at_home,services,2,2,True,True,False,True,True,False,4,4,4,4,5,5,12,7,8,8,4.285714285714286
193,M,16,R,GT3,T,3,3,services,services,1,1,False,True,True,True,True,False,4,3,2,3,4,5,8,8,9,10,3.2857142857142856
194,M,16,U,GT3,T,2,3,other,other,2,1,False,False,True,True,True,False,5,3,3,1,1,3,0,13,14,14,1.0
195,F,17,U,LE3,T,2,4,services,services,1,2,False,True,True,True,True,True,4,3,2,1,1,5,0,14,15,15,1.0
196,M,17,U,GT3,T,4,4,services,teacher,1,1,False,False,True,True,True,False,5,2,3,1,2,5,4,17,15,16,1.2857142857142858
197,M,16,R,LE3,T,3,3,teacher,other,3,1,True,True,True,True,True,False,3,3,4,3,5,3,8,9,9,10,3.5714285714285716
198,F,17,U,GT3,T,4,4,services,teacher,2,1,False,False,True,True,True,False,4,2,4,2,3,2,24,18,18,18,2.2857142857142856
199,F,16,U,LE3,T,4,4,teacher,teacher,1,2,True,False,True,True,True,False,4,5,2,1,2,3,0,9,9,10,1.2857142857142858
200,F,16,U,GT3,T,4,3,health,other,1,2,False,True,True,True,True,False,4,3,5,1,5,2,2,16,16,16,2.142857142857143
201,F,16,U,GT3,T,2,3,other,other,1,2,True,True,True,True,False,False,4,4,3,1,3,4,6,8,10,10,1.5714285714285714
202,F,17,U,GT3,T,1,1,other,other,1,2,True,False,False,True,False,False,4,4,4,1,3,1,4,9,9,10,1.5714285714285714
203,F,17,R,GT3,T,2,2,other,other,1,1,False,False,True,True,True,False,5,3,2,1,2,3,18,7,6,6,1.2857142857142858
204,F,16,R,GT3,T,2,2,services,services,2,4,True,True,False,True,True,False,5,3,5,1,1,5,6,10,10,11,1.0
205,F,17,U,GT3,T,3,4,at_home,services,1,3,True,False,True,True,True,True,4,4,3,3,4,5,28,10,9,9,3.2857142857142856
206,F,16,U,GT3,A,3,1,services,other,1,2,True,False,True,True,True,False,2,3,3,2,2,4,5,7,7,7,2.0
207,F,16,U,GT3,T,4,3,teacher,other,1,2,True,True,True,True,True,True,1,3,2,1,1,1,10,11,12,13,1.0
208,F,16,U,GT3,T,1,1,at_home,other,2,1,True,False,True,True,False,False,4,3,2,1,4,5,6,9,9,10,1.8571428571428572
209,F,17,R,GT3,T,4,3,teacher,other,2,3,True,True,True,True,True,True,4,4,2,1,1,4,6,7,7,7,1.0
210,F,19,U,GT3,T,3,3,other,other,1,4,True,True,True,True,True,False,4,3,3,1,2,3,10,8,8,8,1.2857142857142858
